what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1295253599612
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1295253599612
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1295253599613
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1295253599613
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1295253599613
os,sysinfo,,,"macosx",1295253599616
arch,sysinfo,,,"x86_64",1295253599616
ws,sysinfo,,,"cocoa",1295253599616
locale,sysinfo,,,"en_US",1295253599616
processors,sysinfo,,,"2",1295253599616
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1295253599616
java.runtime.version,sysinfo,,,"1.6.0_22-b04-307-10M3261",1295253599616
java.specification.name,sysinfo,,,"Java Platform API Specification",1295253599616
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1295253599616
java.specification.version,sysinfo,,,"1.6",1295253599616
java.vendor,sysinfo,,,"Apple Inc.",1295253599616
java.version,sysinfo,,,"1.6.0_22",1295253599616
java.vm.info,sysinfo,,,"mixed mode",1295253599616
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1295253599616
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1295253599616
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1295253599616
java.vm.specification.version,sysinfo,,,"1.0",1295253599616
java.vm.vendor,sysinfo,,,"Apple Inc.",1295253599616
java.vm.version,sysinfo,,,"17.1-b03-307",1295253599616
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295253600588
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295253750004
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295253750938
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295253753008
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295253760211
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295253778071
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295253784289
started,bundle,org.eclipse.mylyn.wikitext.ui,1.3.0.v20100608-0100-e3x,"org.eclipse.mylyn.wikitext.ui",1295253897052
started,bundle,org.eclipse.mylyn.wikitext.core,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.core",1295253897092
started,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1295253899157
started,bundle,org.eclipse.ui.cheatsheets,3.4.0.v20100427,"org.eclipse.ui.cheatsheets",1295253904933
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1295253929230
started,bundle,org.eclipse.jsch.ui,1.1.300.I20100505-1245,"org.eclipse.jsch.ui",1295253930262
started,bundle,org.eclipse.equinox.security.ui,1.0.200.v20100503,"org.eclipse.equinox.security.ui",1295253948036
started,bundle,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser",1295253985767
started,bundle,org.python.pydev.core,1.6.4.2011010200,"org.python.pydev.core",1295254028463
started,bundle,com.python.pydev.analysis,1.6.4.2011010200,"com.python.pydev.analysis",1295254028485
started,bundle,org.python.pydev,1.6.4.2011010200,"org.python.pydev",1295254028508
started,bundle,org.python.pydev.parser,1.6.4.2011010200,"org.python.pydev.parser",1295254028537
error,log,,,"PythonInterpreterManager:Interpreter is not properly configured!\nPlease go to window > preferences > PyDev > Python Interpreters and configure it.\nIf this is not supposed to be a Python project, change the project type on the\nproject properties to the project you want (e.g.: Jython project).",1295254028593
error,log,,,"PythonInterpreterManager:Interpreter is not properly configured!\nPlease go to window > preferences > PyDev > Python Interpreters and configure it.\nIf this is not supposed to be a Python project, change the project type on the\nproject properties to the project you want (e.g.: Jython project).",1295254028594
error,log,,,"PythonInterpreterManager:Interpreter is not properly configured!\nPlease go to window > preferences > PyDev > Python Interpreters and configure it.\nIf this is not supposed to be a Python project, change the project type on the\nproject properties to the project you want (e.g.: Jython project).",1295254028638
error,log,,,"PythonInterpreterManager:Interpreter is not properly configured!\nPlease go to window > preferences > PyDev > Python Interpreters and configure it.\nIf this is not supposed to be a Python project, change the project type on the\nproject properties to the project you want (e.g.: Jython project).",1295254028639
