what,kind,bundleId,bundleVersion,description,time
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385777
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385777
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385778
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385780
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385780
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385781
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385783
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385784
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385785
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385794
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385795
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385796
error,log,,,"Unable to find interpreter named: python2.6. Available: Python 2.6.6  (/opt/local/Library/Frameworks/Python.framework/Versions/2.6/Resources/Python.app/Contents/MacOS/Python)",1295415385798
