what,kind,bundleId,bundleVersion,description,time
activated,editor,org.python.pydev,1.6.4.2011010200,"org.python.pydev.editor.PythonEditor",1295256774592
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineDown",1295256785553
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineDown",1295256786086
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineDown",1295256786247
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295256788003
error,log,,,"PythonInterpreterManager:Interpreter is not properly configured!\nPlease go to window > preferences > PyDev > Python Interpreters and configure it.\nIf this is not supposed to be a Python project, change the project type on the\nproject properties to the project you want (e.g.: Jython project).",1295256797563
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295256797691
activated,view,org.python.pydev,1.6.4.2011010200,"org.python.pydev.navigator.view",1295256800641
executed,command,com.python.pydev.analysis,1.6.4.2011010200,"com.python.pydev.analysis.actions.pyGlobalsBrowserWorkbench",1295256826807
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295256826823
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295256831237
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295256833760
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295256869405
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1295256881679
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1295256881720
activated,editor,org.python.pydev,1.6.4.2011010200,"org.python.pydev.editor.PythonEditor",1295256885454
closed,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1295256885454
activated,view,org.python.pydev,1.6.4.2011010200,"org.python.pydev.navigator.view",1295256890516
opened,editor,org.python.pydev,1.6.4.2011010200,"org.python.pydev.editor.PythonEditor",1295256904583
activated,editor,org.python.pydev,1.6.4.2011010200,"org.python.pydev.editor.PythonEditor",1295256904662
activated,view,org.python.pydev,1.6.4.2011010200,"org.python.pydev.navigator.view",1295256907877
activated,editor,org.python.pydev,1.6.4.2011010200,"org.python.pydev.editor.PythonEditor",1295256909077
activated,view,org.python.pydev,1.6.4.2011010200,"org.python.pydev.navigator.view",1295256909202
activated,editor,org.python.pydev,1.6.4.2011010200,"org.python.pydev.editor.PythonEditor",1295256910336
activated,editor,org.python.pydev,1.6.4.2011010200,"org.python.pydev.editor.PythonEditor",1295256913448
closed,editor,org.python.pydev,1.6.4.2011010200,"org.python.pydev.editor.PythonEditor",1295256913448
activated,view,org.python.pydev,1.6.4.2011010200,"org.python.pydev.navigator.view",1295256914812
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1295256914987
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1295256915018
